corridor,state,slope_angle_deg,elevation_m,geology,rainfall_24h_mm,rainfall_72h_accum_mm,soil_saturation_pct,road_curvature_index,drainage_capacity_score,vegetation_loss_index,historical_landslides,heavy_truck_intensity,disruption_prob,disruption_occurred,hazard_type,clearance_time_hours
NH-10,Sikkim,46.56,1470.1,Fractured Shale,115.99,295.2,71.9,3.5,1.8,0.145,2,1043,0.99,1,Major Landslide / Rockfall,37.1
NH-13,Arunachal Pradesh,53.16,1757.7,Fractured Shale,11.5,36.1,9.2,5.3,10.0,0.594,3,961,0.5594,0,None,0.0
NH-10,Sikkim,38.51,1954.1,Gneiss-Schist,79.98,249.72,62.2,6.6,3.1,0.689,1,1392,0.99,1,Major Landslide / Rockfall,28.0
NH-208,Tripura,28.55,477.3,Alluvial Silt,238.44,650.0,99.0,8.7,4.2,0.281,1,2035,0.99,1,Mudslide & Debris Flow,2.7
NH-13,Arunachal Pradesh,62.94,2200.4,Sandstone-Siltstone,0.66,5.15,19.9,4.7,4.1,0.202,1,1659,0.696,1,Tree Fall & Rock Obstruction,4.5
NH-6,Meghalaya,40.55,1151.5,Sandstone-Siltstone,35.08,75.68,17.6,8.5,8.2,0.051,7,646,0.6564,1,Road Subsidence & Edge Collapse,17.2
NH-208,Tripura,28.34,67.5,Fractured Shale,21.15,73.5,24.9,2.7,6.1,0.177,2,664,0.0543,0,None,0.0
NH-29,Nagaland,38.3,1525.1,Sandstone-Siltstone,5.95,39.32,25.9,5.9,6.6,0.249,6,1049,0.3249,0,None,0.0
NH-27,Assam,8.0,212.2,Fractured Shale,10.56,67.27,30.2,7.2,8.3,0.216,0,1749,0.01,0,None,0.0
NH-6,Meghalaya,38.27,1850.2,Gneiss-Schist,70.32,219.04,44.8,4.2,3.0,0.116,3,1443,0.9793,1,Major Landslide / Rockfall,26.3
NH-27,Assam,14.83,50.0,Sandstone-Siltstone,15.4,64.65,29.3,7.8,5.5,0.091,1,1234,0.01,0,None,0.0
NH-102,Manipur,29.44,1118.8,Sandstone-Siltstone,33.19,120.21,40.5,3.7,9.3,0.645,1,1306,0.2924,1,Tree Fall & Rock Obstruction,3.1
NH-29,Nagaland,45.5,1112.3,Fractured Shale,31.42,120.73,22.3,4.1,2.8,0.237,2,1953,0.9005,1,Tree Fall & Rock Obstruction,1.9
NH-29,Nagaland,43.99,1375.9,Gneiss-Schist,62.15,228.28,38.7,4.4,7.4,0.187,4,1388,0.9825,1,Major Landslide / Rockfall,21.9
NH-6,Meghalaya,31.51,1513.0,Fractured Shale,22.24,72.53,33.9,8.3,4.0,0.22,1,1435,0.1332,0,None,0.0
NH-29,Nagaland,45.37,1707.4,Sandstone-Siltstone,12.42,42.99,10.8,7.7,4.8,0.491,3,1561,0.5076,1,Tree Fall & Rock Obstruction,1.5
NH-13,Arunachal Pradesh,55.61,1974.0,Sandstone-Siltstone,9.7,36.65,22.5,6.2,6.4,0.315,2,1036,0.6699,1,Tree Fall & Rock Obstruction,6.9
NH-29,Nagaland,43.11,1367.8,Sandstone-Siltstone,127.97,345.48,74.8,7.5,3.3,0.179,2,916,0.99,1,Major Landslide / Rockfall,9.0
NH-27,Assam,19.49,518.2,Fractured Shale,2.85,20.9,13.5,7.1,6.3,0.322,0,1055,0.01,0,None,0.0
NH-27,Assam,8.0,428.6,Alluvial Silt,102.32,223.65,70.4,6.5,6.1,0.478,0,1099,0.623,0,None,0.0
NH-208,Tripura,21.04,182.5,Sandstone-Siltstone,1.64,10.85,6.6,4.8,6.3,0.467,2,1392,0.01,0,None,0.0
NH-27,Assam,8.0,50.0,Gneiss-Schist,1.98,36.58,13.3,4.2,4.9,0.226,0,1016,0.01,0,None,0.0
NH-208,Tripura,10.76,873.3,Gneiss-Schist,3.69,16.51,24.5,5.3,2.9,0.328,3,1000,0.01,0,None,0.0
NH-27,Assam,8.0,74.0,Gneiss-Schist,9.92,32.06,23.8,6.5,5.4,0.303,1,1470,0.01,0,None,0.0
NH-13,Arunachal Pradesh,43.88,2106.2,Sandstone-Siltstone,320.0,650.0,99.0,6.2,5.6,0.187,7,1122,0.99,1,Major Landslide / Rockfall,29.0
NH-715,Assam,11.44,50.0,Alluvial Silt,90.74,227.22,58.2,4.5,8.1,0.855,0,601,0.6468,1,Tree Fall & Rock Obstruction,1.5
NH-208,Tripura,16.61,232.9,Alluvial Silt,12.84,74.28,22.5,10.0,8.1,0.301,1,1264,0.0213,0,None,0.0
NH-10,Sikkim,50.44,1316.0,Sandstone-Siltstone,45.55,157.12,32.3,7.8,3.7,0.22,6,1030,0.99,1,Road Subsidence & Edge Collapse,8.7
NH-102,Manipur,29.91,1235.2,Gneiss-Schist,14.66,75.7,44.1,5.4,7.7,0.644,0,1678,0.1317,0,None,0.0
NH-6,Meghalaya,27.69,1122.2,Fractured Shale,82.91,257.39,49.4,6.4,5.6,0.504,0,1279,0.9754,1,Tree Fall & Rock Obstruction,1.9
NH-27,Assam,19.41,50.0,Fractured Shale,4.9,54.46,5.0,5.0,7.7,0.599,2,795,0.01,0,None,0.0
NH-29,Nagaland,36.56,2109.2,Sandstone-Siltstone,9.72,18.25,11.0,10.0,6.8,0.127,2,286,0.0498,0,None,0.0
NH-715,Assam,14.62,162.4,Alluvial Silt,120.17,243.17,66.3,4.5,7.6,0.463,2,210,0.8946,0,None,0.0
NH-27,Assam,14.9,50.0,Gneiss-Schist,4.04,40.19,5.0,5.5,4.1,0.524,1,1070,0.01,0,None,0.0
NH-29,Nagaland,43.3,1217.5,Gneiss-Schist,42.04,150.12,33.2,4.9,4.8,0.532,2,1547,0.9202,1,Tree Fall & Rock Obstruction,2.4
NH-102,Manipur,39.11,1101.8,Fractured Shale,84.14,212.62,61.9,6.1,5.3,0.366,1,1208,0.99,1,Major Landslide / Rockfall,16.1
NH-102,Manipur,35.11,1259.3,Sandstone-Siltstone,84.17,259.35,48.5,5.4,4.9,0.341,3,933,0.99,1,Major Landslide / Rockfall,19.2
NH-102,Manipur,26.4,1212.4,Sandstone-Siltstone,61.39,178.86,48.6,7.2,7.6,0.232,2,1070,0.6664,1,Tree Fall & Rock Obstruction,1.4
NH-29,Nagaland,56.16,1422.4,Gneiss-Schist,8.28,53.89,24.6,4.9,5.5,0.3,5,1286,0.8711,1,Road Subsidence & Edge Collapse,16.3
NH-27,Assam,13.26,188.4,Fractured Shale,104.13,237.63,57.8,5.9,7.5,0.647,0,942,0.847,1,Flash Flood & Highway Waterlogging,1.7
NH-102,Manipur,31.04,1451.5,Sandstone-Siltstone,0.31,30.85,26.7,6.0,6.5,0.803,1,1369,0.0627,0,None,0.0
NH-13,Arunachal Pradesh,56.27,2521.3,Alluvial Silt,165.09,409.86,75.2,9.2,4.1,0.477,2,732,0.99,1,Major Landslide / Rockfall,15.4
NH-208,Tripura,19.62,50.0,Alluvial Silt,129.18,358.0,87.8,8.1,7.4,0.246,0,395,0.9829,1,Flash Flood & Highway Waterlogging,12.3
NH-29,Nagaland,44.59,736.2,Alluvial Silt,115.05,255.76,48.5,8.0,2.3,0.631,3,2067,0.99,1,Major Landslide / Rockfall,36.2
NH-29,Nagaland,58.2,1589.0,Sandstone-Siltstone,11.44,34.11,16.2,9.4,5.6,0.379,4,1339,0.8569,0,None,0.0
NH-27,Assam,10.21,319.6,Alluvial Silt,3.02,38.91,18.4,6.2,5.8,0.436,1,658,0.01,0,None,0.0
NH-29,Nagaland,39.93,1173.2,Alluvial Silt,11.53,21.58,23.1,6.7,6.3,0.502,1,1156,0.2056,0,None,0.0
NH-29,Nagaland,42.76,1497.4,Alluvial Silt,112.9,324.8,57.0,5.6,5.9,0.666,6,2048,0.99,1,Major Landslide / Rockfall,28.3
NH-102,Manipur,38.96,870.9,Alluvial Silt,13.67,35.4,37.5,7.2,6.4,0.402,3,1306,0.3431,1,Tree Fall & Rock Obstruction,1.3
NH-27,Assam,8.0,111.3,Alluvial Silt,140.71,407.35,84.6,9.5,6.9,0.173,0,864,0.9729,1,Flash Flood & Highway Waterlogging,12.6
NH-102,Manipur,19.22,786.6,Fractured Shale,102.02,256.56,68.5,1.5,4.2,0.515,1,835,0.9842,1,Flash Flood & Highway Waterlogging,4.9
NH-208,Tripura,14.18,507.2,Fractured Shale,87.49,216.5,41.2,8.1,6.4,0.22,0,1774,0.4522,0,None,0.0
NH-715,Assam,8.0,139.4,Gneiss-Schist,10.62,52.78,19.1,9.4,5.1,0.552,1,998,0.01,0,None,0.0
NH-208,Tripura,15.24,50.0,Sandstone-Siltstone,8.83,53.09,5.0,8.6,2.2,0.242,0,474,0.01,0,None,0.0
NH-715,Assam,18.27,370.2,Fractured Shale,3.77,33.09,29.2,3.3,4.6,0.23,2,1368,0.01,0,None,0.0
NH-102,Manipur,26.21,570.7,Gneiss-Schist,64.66,174.69,35.8,3.0,8.9,0.438,0,1249,0.4795,0,None,0.0
NH-208,Tripura,8.73,505.3,Fractured Shale,1.31,33.22,9.3,6.8,1.6,0.216,3,940,0.01,0,None,0.0
NH-27,Assam,12.45,377.3,Fractured Shale,7.09,19.92,23.9,3.1,5.8,0.411,1,1130,0.01,0,None,0.0
NH-6,Meghalaya,43.61,1816.9,Sandstone-Siltstone,30.7,64.86,5.0,1.0,6.7,0.465,3,1340,0.5528,0,None,0.0
NH-102,Manipur,20.98,902.5,Fractured Shale,87.48,253.65,57.9,7.4,3.8,0.317,0,722,0.9473,1,Tree Fall & Rock Obstruction,2.1
NH-715,Assam,20.33,50.0,Gneiss-Schist,120.48,355.88,96.1,9.2,4.3,0.204,1,1389,0.99,1,Tree Fall & Rock Obstruction,2.6
NH-13,Arunachal Pradesh,55.31,2225.2,Alluvial Silt,1.04,36.86,11.5,8.4,1.3,0.313,3,742,0.7457,1,Tree Fall & Rock Obstruction,4.6
NH-715,Assam,21.2,69.7,Gneiss-Schist,149.55,334.29,65.5,8.6,8.0,0.607,2,596,0.99,1,Tree Fall & Rock Obstruction,1.3
NH-13,Arunachal Pradesh,57.92,2004.2,Gneiss-Schist,17.18,47.29,32.7,5.1,5.7,0.577,3,1184,0.9083,1,Tree Fall & Rock Obstruction,0.8
NH-29,Nagaland,56.31,1333.9,Fractured Shale,228.62,606.7,99.0,5.7,8.2,0.354,6,835,0.99,1,Major Landslide / Rockfall,15.4
NH-208,Tripura,15.69,50.0,Sandstone-Siltstone,10.6,39.02,36.2,4.5,5.2,0.233,2,517,0.01,0,None,0.0
NH-13,Arunachal Pradesh,50.71,1849.0,Alluvial Silt,30.42,110.59,45.6,3.8,1.9,0.055,6,1099,0.9586,1,Road Subsidence & Edge Collapse,10.4
NH-715,Assam,12.29,298.4,Gneiss-Schist,175.37,355.63,83.4,6.6,6.3,0.315,0,1299,0.99,1,Flash Flood & Highway Waterlogging,2.2
NH-29,Nagaland,42.01,1484.3,Fractured Shale,49.72,124.16,27.4,7.2,7.5,0.05,8,1608,0.9657,1,Road Subsidence & Edge Collapse,20.5
NH-6,Meghalaya,47.96,1307.5,Alluvial Silt,104.12,273.11,62.6,3.4,4.5,0.416,5,1261,0.99,1,Major Landslide / Rockfall,13.0
NH-27,Assam,8.0,50.0,Limestone Karst,70.68,162.08,41.1,3.1,8.8,0.05,0,627,0.1068,0,None,0.0
NH-27,Assam,8.0,50.0,Fractured Shale,10.68,40.09,23.0,6.4,4.8,0.393,0,1552,0.01,0,None,0.0
NH-27,Assam,20.95,660.8,Fractured Shale,4.41,33.21,24.0,8.7,5.7,0.264,1,1068,0.01,0,None,0.0
NH-13,Arunachal Pradesh,56.63,2011.8,Fractured Shale,111.99,355.29,72.9,5.3,7.9,0.51,4,1064,0.99,1,Major Landslide / Rockfall,24.6
NH-6,Meghalaya,35.64,1583.2,Fractured Shale,101.74,306.57,64.1,9.0,3.8,0.719,6,1454,0.99,1,Major Landslide / Rockfall,15.9
NH-13,Arunachal Pradesh,55.55,2248.8,Alluvial Silt,90.5,218.7,61.1,6.5,5.2,0.471,1,1064,0.99,1,Major Landslide / Rockfall,6.9
NH-208,Tripura,20.22,50.0,Alluvial Silt,77.61,211.74,75.9,5.2,1.3,0.225,0,946,0.8275,1,Tree Fall & Rock Obstruction,3.5
NH-13,Arunachal Pradesh,59.75,2737.7,Gneiss-Schist,213.16,590.66,99.0,5.5,5.5,0.22,2,2084,0.99,1,Major Landslide / Rockfall,9.1
NH-6,Meghalaya,38.48,1605.2,Gneiss-Schist,5.71,52.32,31.8,5.2,4.6,0.406,1,700,0.2351,0,None,0.0
NH-6,Meghalaya,44.67,1169.7,Gneiss-Schist,7.45,39.75,27.4,5.6,4.8,0.51,7,893,0.7659,1,Road Subsidence & Edge Collapse,16.1
NH-208,Tripura,35.17,111.5,Sandstone-Siltstone,112.83,362.51,84.1,8.3,6.5,0.313,7,1071,0.99,1,Major Landslide / Rockfall,16.3
NH-6,Meghalaya,41.89,1055.2,Gneiss-Schist,8.32,22.94,21.5,3.0,2.8,0.31,7,990,0.6281,0,None,0.0
NH-715,Assam,15.32,642.9,Alluvial Silt,4.66,39.72,16.6,4.1,4.6,0.28,0,1402,0.011,0,None,0.0
NH-6,Meghalaya,42.7,1127.7,Alluvial Silt,94.77,217.33,55.1,4.9,7.1,0.129,2,902,0.9784,1,Major Landslide / Rockfall,17.4
NH-27,Assam,9.63,50.0,Fractured Shale,102.77,355.31,75.2,5.7,8.2,0.602,0,1657,0.9714,1,Flash Flood & Highway Waterlogging,6.2
NH-715,Assam,30.52,50.0,Sandstone-Siltstone,15.7,72.96,33.5,4.7,4.1,0.494,1,1254,0.1821,1,Tree Fall & Rock Obstruction,2.8
NH-715,Assam,16.17,119.1,Sandstone-Siltstone,10.41,40.18,26.7,6.2,8.9,0.83,3,1570,0.0153,0,None,0.0
NH-208,Tripura,16.23,531.1,Gneiss-Schist,4.88,20.83,5.0,6.5,8.7,0.098,1,1711,0.01,0,None,0.0
NH-10,Sikkim,39.57,1736.8,Sandstone-Siltstone,114.6,396.65,87.4,7.1,3.7,0.199,8,765,0.99,1,Major Landslide / Rockfall,11.1
NH-10,Sikkim,52.13,1080.3,Fractured Shale,147.47,340.47,77.8,8.3,5.3,0.175,6,1374,0.99,1,Major Landslide / Rockfall,19.2
NH-6,Meghalaya,43.64,1513.5,Gneiss-Schist,4.87,47.04,33.9,7.4,6.4,0.429,4,1566,0.5016,0,None,0.0
NH-715,Assam,11.77,119.6,Sandstone-Siltstone,14.88,60.14,25.8,9.4,2.8,0.221,1,1952,0.01,0,None,0.0
NH-10,Sikkim,48.75,905.5,Fractured Shale,79.72,221.67,50.3,8.5,2.5,0.142,6,1595,0.99,1,Major Landslide / Rockfall,8.8
NH-10,Sikkim,35.19,1926.8,Alluvial Silt,135.67,316.15,80.6,10.0,5.7,0.332,4,1099,0.99,1,Major Landslide / Rockfall,15.0
NH-6,Meghalaya,39.2,1808.8,Fractured Shale,3.57,45.59,15.7,9.0,6.1,0.387,4,1022,0.2088,0,None,0.0
NH-10,Sikkim,47.94,1256.7,Fractured Shale,0.84,7.67,5.0,3.1,4.6,0.6,3,1854,0.3606,0,None,0.0
NH-13,Arunachal Pradesh,61.1,2674.6,Fractured Shale,17.79,41.13,28.5,7.1,2.8,0.464,8,1133,0.99,1,Road Subsidence & Edge Collapse,34.1
NH-29,Nagaland,36.99,1863.6,Fractured Shale,79.32,224.18,67.9,8.3,6.6,0.272,6,1325,0.99,1,Major Landslide / Rockfall,17.4
NH-208,Tripura,9.69,144.6,Sandstone-Siltstone,90.78,177.91,43.1,4.7,4.6,0.412,0,1030,0.3417,0,None,0.0
NH-29,Nagaland,36.18,1597.8,Gneiss-Schist,5.83,44.84,15.5,4.2,5.2,0.123,0,884,0.0633,0,None,0.0
NH-6,Meghalaya,29.31,1853.6,Sandstone-Siltstone,6.26,43.05,34.7,4.9,2.6,0.359,1,1763,0.0842,0,None,0.0
NH-27,Assam,20.69,50.0,Fractured Shale,7.05,47.79,28.6,6.5,6.0,0.468,2,652,0.0101,0,None,0.0
NH-208,Tripura,28.07,622.1,Fractured Shale,16.42,75.27,25.6,9.0,5.2,0.098,0,1309,0.0235,0,None,0.0
NH-6,Meghalaya,40.08,1332.5,Sandstone-Siltstone,23.61,57.02,27.7,9.2,4.1,0.475,3,1617,0.5804,0,None,0.0
NH-715,Assam,22.94,552.4,Sandstone-Siltstone,7.73,42.77,12.7,5.3,1.1,0.05,2,1012,0.0255,0,None,0.0
NH-27,Assam,12.87,78.4,Fractured Shale,123.75,295.41,70.8,4.6,8.8,0.79,0,1083,0.9795,1,Flash Flood & Highway Waterlogging,3.7
NH-29,Nagaland,41.38,1601.3,Fractured Shale,52.24,124.1,17.3,7.2,3.2,0.269,2,1277,0.9035,1,Tree Fall & Rock Obstruction,2.0
NH-6,Meghalaya,35.84,1389.7,Fractured Shale,9.71,35.97,12.8,4.4,9.6,0.352,5,1136,0.0833,0,None,0.0
NH-715,Assam,12.98,50.0,Fractured Shale,6.03,44.65,21.3,2.9,4.5,0.081,1,893,0.01,0,None,0.0
NH-208,Tripura,8.0,50.0,Fractured Shale,68.6,181.1,48.8,5.6,7.1,0.344,1,1884,0.1126,0,None,0.0
NH-208,Tripura,19.72,533.7,Gneiss-Schist,7.47,38.11,17.8,2.6,6.6,0.677,1,1423,0.0175,0,None,0.0
NH-102,Manipur,31.74,255.8,Fractured Shale,17.57,59.25,35.2,8.1,2.4,0.185,2,1031,0.1683,0,None,0.0
NH-715,Assam,19.84,50.0,Fractured Shale,0.9,6.86,18.0,5.9,8.7,0.657,0,1082,0.01,0,None,0.0
NH-13,Arunachal Pradesh,50.61,1982.4,Sandstone-Siltstone,0.59,2.02,10.6,4.8,4.6,0.736,4,980,0.6114,1,Road Subsidence & Edge Collapse,16.3
NH-10,Sikkim,43.94,876.5,Sandstone-Siltstone,29.53,75.39,26.3,7.5,7.0,0.756,1,1465,0.6589,0,None,0.0
NH-27,Assam,8.0,533.0,Sandstone-Siltstone,70.11,208.95,58.6,6.0,1.0,0.05,3,986,0.5578,0,None,0.0
NH-715,Assam,15.47,472.3,Fractured Shale,4.26,19.23,22.3,2.8,3.9,0.582,1,1333,0.01,0,None,0.0
NH-102,Manipur,36.8,1127.6,Gneiss-Schist,0.23,36.73,18.4,5.2,4.7,0.19,6,1380,0.2666,0,None,0.0
NH-10,Sikkim,37.57,1008.7,Gneiss-Schist,21.7,70.55,42.1,3.2,6.8,0.457,4,1564,0.5478,1,Road Subsidence & Edge Collapse,32.9
NH-10,Sikkim,45.57,1600.5,Sandstone-Siltstone,12.65,33.43,11.6,6.3,4.9,0.345,3,1414,0.4203,1,Tree Fall & Rock Obstruction,1.3
